zip,lat,lng,city,state,zcta,parent_zcta,pop,county_fips,county_name,imprecise,military
34001,,,Dpo,AA,FALSE,,,,,FALSE,TRUE
34002,,,Dpo,AA,FALSE,,,,,FALSE,TRUE
34004,,,Dpo,AA,FALSE,,,,,FALSE,TRUE
34007,,,Fpo,AA,FALSE,,,,,FALSE,TRUE
34008,,,Dpo,AA,FALSE,,,,,FALSE,TRUE
34011,,,Dpo,AA,FALSE,,,,,FALSE,TRUE
34020,,,Dpo,AA,FALSE,,,,,FALSE,TRUE
34021,,,Dpo,AA,FALSE,,,,,FALSE,TRUE
34022,,,Dpo,AA,FALSE,,,,,FALSE,TRUE
34023,,,Dpo,AA,FALSE,,,,,FALSE,TRUE
34024,,,Dpo,AA,FALSE,,,,,FALSE,TRUE
34025,,,Dpo,AA,FALSE,,,,,FALSE,TRUE
34030,,,Dpo,AA,FALSE,,,,,FALSE,TRUE
34031,,,Dpo,AA,FALSE,,,,,FALSE,TRUE
34032,,,Dpo,AA,FALSE,,,,,FALSE,TRUE
34033,,,Dpo,AA,FALSE,,,,,FALSE,TRUE
34034,,,Dpo,AA,FALSE,,,,,FALSE,TRUE
34035,,,Dpo,AA,FALSE,,,,,FALSE,TRUE
34036,,,Dpo,AA,FALSE,,,,,FALSE,TRUE
34037,,,Dpo,AA,FALSE,,,,,FALSE,TRUE
34038,,,Apo,AA,FALSE,,,,,FALSE,TRUE
34039,,,Dpo,AA,FALSE,,,,,FALSE,TRUE
34041,,,Dpo,AA,FALSE,,,,,FALSE,TRUE
34042,,,Apo,AA,FALSE,,,,,FALSE,TRUE
34044,,,Apo,AA,FALSE,,,,,FALSE,TRUE
34055,,,Dpo,AA,FALSE,,,,,FALSE,TRUE
34058,,,Fpo,AA,FALSE,,,,,FALSE,TRUE
34060,,,Dpo,AA,FALSE,,,,,FALSE,TRUE
34078,,,Apo,AA,FALSE,,,,,FALSE,TRUE
34080,,,Fpo,AA,FALSE,,,,,FALSE,TRUE
34081,,,Fpo,AA,FALSE,,,,,FALSE,TRUE
34082,,,Fpo,AA,FALSE,,,,,FALSE,TRUE
34083,,,Fpo,AA,FALSE,,,,,FALSE,TRUE
34084,,,Fpo,AA,FALSE,,,,,FALSE,TRUE
34085,,,Fpo,AA,FALSE,,,,,FALSE,TRUE
34086,,,Fpo,AA,FALSE,,,,,FALSE,TRUE
34087,,,Fpo,AA,FALSE,,,,,FALSE,TRUE
34088,,,Fpo,AA,FALSE,,,,,FALSE,TRUE
34089,,,Fpo,AA,FALSE,,,,,FALSE,TRUE
34090,,,Fpo,AA,FALSE,,,,,FALSE,TRUE
34091,,,Fpo,AA,FALSE,,,,,FALSE,TRUE
34092,,,Fpo,AA,FALSE,,,,,FALSE,TRUE
34093,,,Fpo,AA,FALSE,,,,,FALSE,TRUE
34094,,,Fpo,AA,FALSE,,,,,FALSE,TRUE
